"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"223084_s_at",-1.08149422256822,7.86994789025676,-6.53149495906888,7.54577925969343e-10,1.91356902144591e-08,12.0599591803014
"204586_at",-1.07143953763489,8.46417547398579,-6.53001587860288,7.60534527794516e-10,1.92688717827457e-08,12.0523458855643
"236725_at",1.24594265972422,6.69039011339418,6.52758670518491,7.7041793578513e-10,1.95102365164669e-08,12.0398443552798
"227227_at",1.05051526589195,9.86233740658895,6.52687008580689,7.73357663179301e-10,1.95665572579029e-08,12.0361568567895
"232570_s_at",1.42786246317168,4.31915029187028,6.526476210507,7.74978122899726e-10,1.95984869886876e-08,12.0341301991796
"215587_x_at",1.18599357273733,7.34370484100073,6.52550135229086,7.79003213674676e-10,1.96820705673119e-08,12.0291144433987
"229108_at",-1.48823341220036,7.13154872839141,-6.52259755197367,7.91115014283976e-10,1.99788514577258e-08,12.0141766672166
"223053_x_at",-1.28485229145868,6.53002928483056,-6.52215390911665,7.92981702368698e-10,2.00167472654703e-08,12.0118948160977
"1554213_at",1.39180510836559,6.65020442432334,6.52193231859797,7.93915697310912e-10,2.00310755655164e-08,12.0107551123235
"243667_at",1.31961634811924,5.56453579387625,6.52099196127124,7.97891324345121e-10,2.01220978591188e-08,12.0059188370116
"208290_s_at",-1.38140301720074,7.12890364966021,-6.51975914241568,8.03133106377125e-10,2.02263024372037e-08,11.9995790467999
"229586_at",1.05234871996247,10.3807171116005,6.51950956808538,8.04198380415383e-10,2.0243805915843e-08,11.9982956925726
"229811_at",1.1913270217184,6.23753645232844,6.51634935005938,8.17808214068319e-10,2.05485588714087e-08,11.9820478026567
"AFFX-r2-Bs-lys-5_at",1.91138373316573,6.23964205483224,6.51354561365134,8.30072394408076e-10,2.08117251926083e-08,11.9676365961066
"219455_at",-1.2558762594691,5.82336946782664,-6.51352002775009,8.30185142113922e-10,2.08117251926083e-08,11.9675051013449
"204731_at",1.02434850940754,8.02853840981157,6.50833297628017,8.53356554394604e-10,2.13300853120479e-08,11.9408533294322
"211651_s_at",-1.31756585068686,5.69380871290127,-6.50828064544572,8.53593537499053e-10,2.13300853120479e-08,11.9405845101625
"203619_s_at",-1.05632771535354,9.36887469773149,-6.50816079755925,8.5413651935211e-10,2.13339032414694e-08,11.9399688660415
"211125_x_at",-1.53578242136061,6.33579641216046,-6.50790510384653,8.55296099496247e-10,2.13490229090119e-08,11.9386554206107
"212798_s_at",-1.06193479614983,9.32874803467569,-6.50785515460282,8.55522801895656e-10,2.13490229090119e-08,11.9383988452776
"208911_s_at",-1.27028887843841,7.15104211450295,-6.50477221919394,8.69630225950635e-10,2.1651654191189e-08,11.9225649092999
"219371_s_at",1.21342044808264,7.46996872882552,6.50439983889916,8.71349645516918e-10,2.16845889251877e-08,11.9206526654908
"224414_s_at",1.45420849604704,5.24507197790755,6.50218442754384,8.81648396981239e-10,2.1901011406156e-08,11.9092774383423
"60471_at",1.03622177510258,6.20015618369136,6.50198831288967,8.82565821903944e-10,2.19138448286095e-08,11.9082705801125
"1555419_a_at",-1.18994893529134,6.20167806935269,-6.49983057199591,8.92721969854185e-10,2.21459045833837e-08,11.8971938580056
"201821_s_at",-1.132741081335,6.11953112307554,-6.49922352900268,8.95599893953177e-10,2.22072218602675e-08,11.8940780046856
"223711_s_at",-1.01077527119697,8.17507198529781,-6.49710657950962,9.05707725701463e-10,2.24375033542037e-08,11.8832133878923
